PESTICIDE FORMULATIONS REGISTERED FOR USE IN THE COUNTRY
UNDER THE INSECTICIDES ACT, 1968
                                                          (Updated on 31.03.2026)
                             FORMULATIONS OF PESTICIDES
S. No.   Formulation registered
                                       A. INSECTICIDES
398   Quizalofop-ethyl 10% EC
399   Quizalofop-ethyl 5% EC
400   Quizalofop-p-tefury l4.41% EC
401   Saflufenacil 70.0% WG
402   Sulfentrazone 39.6% SC
403   Sulfosulfuron 75% WG
404   Tembotrione 34.4% SC
405   Tolpyralate 40% (w/v) SC
406   Topramezone 336g/l w/v SC
407   Triallate 50% EC
408   Triafamone 18.52% SC
409   Triasulfuron 20% WG
                         C. PLANT GROWTH REGULATORS
410   1-Methylcyclopropene 0.014% VP
411   1-Methylcyclopropene 3.3%VP (Vapour Releasing Product)
412   Alpha Naphthyl Acetic Acid 4.5% SL (Na salt)
413   Chlormequat Chloride 50% SL
414   Chlorpropham 300 g/l EC
415   Chlorpropham 50% HN
416   Chlorpropham 55.37% w/w (624 g/l) HN
417   Ethephon 10% Paste
418   Ethephon 39% SL
419   ETHEPHON 20% WP
420   Forchlorfenuron (CPPU) 0.1% L
421   Forchlorfenuron 0.12% EC
422   Gibberellic Acid 0.001% L
423   Gibberellic Acid 0.1% GR
424   Gibberellic Acid 0.186% SP
425   Gibberellic Acid 0.45% SL
426   Gibberellic Acid 40% WSG
427   Gibberellic Acid Technical 90 % w/w
428   Hydrogen Cynamide 49% AS
429   Hydrogen Cynamide 50% SL
430   Mepiquat chloride 5% AS
431   Nitrobenzene 20% w/w EW
432   Paclobutrazol 23% SC
433   Paclobutrazol 40% SC
434   Prohexadione-Ca 10% WG
435   Sodiumparanitrophenolate 0.3% SL
436   Sodiumparanitrophenolate 1.8% SL
437   Triacontanol 0.05% EC
438   Triacontanol 0.05% w/w min. GR
439   Triacontanol 0.1% EW
                                    D. FUNGICIDES
440   Amisulbrom 17.7% (20% w/v) SC
441   Aureofungin 46.15% SP
442   Azoxystrobin 23% SC
443   Bitertanol 25% WP
444   Buprimate 26.7% EC
445   Captan 50% WG
446   Captan 50% WP
447   Captan 75% WS
448   Captan 75% WP
449   Carbendazim 25% DS
450   Carbendazim 46.27% SC
451   Carbendazim 5% GR
452   Carbendazim 50% WP
453   Carboxin 75% WP
454   Carpropamid 27.8% SC
455   Chlorothalonil 75% WP
456   Copper Hydroxide 46.1% WG
457   Copper Hydroxide 53.8% DF
458   Copper Hydroxide 61.41% WG
459   Copper Hydroxide 77% WP
460   Copper Oxychloride 40% paste
461   Copper Oxychloride 50% WP
462   Copper Oxychloride 50% WG
463   Copper Oxychloride 56% OP
464   Copper Sulphate 2.62% SC
465   Copper Sulphate Pentahydrate 23.99 % (Containing copper content 6 % w/v)
466   Cyazofamid 34.5% SC
467   Cyflufenamide 5% EW
468   Cymoxanil 50% WP
469   Difenoconazole 25% EC
470   Difenoconazole 3% WS
471   Dimethomorph 50% WP
472   Dithianon 75% WP
473   Dodine 40% SC
474   Dodine 65% WP
475   Edifenphos 50% EC
476   Ethaboxam 40% SC
477   Fludioxonil 20.4% SC
478   Flusilazole 40% EC
479   Fluoxapiprolin 1.9% SC
480   Fluxapyroxad 333g/l FS
481   Fosetyl-Al 80% WP
482   Hexaconazole 0.5% GR
483   Hexaconazole 2% SC
484   Hexaconazole 5% EC
485   Hexaconazole 5% SC
486   Hexaconazole 75% WG
487   Iprobenfos (Kitazin)17% GR
488   Iprobenfos (Kitazin) 48% EC
489   Iprodione 50% WP
490   Isoprothiolane 40% EC
491   Kasugamycin 3% SL
492   Kresoxim-methyl 44.3% (500g/l) SC
493   Lime Sulphur 22% SC
494   Mancozeb 35% SC
495   Mancozeb 75% WP
496   Mancozeb 75% WG
497   Mandipropamid 23.4% SC
498   Meptyldinocap 35.7% EC
499   Metalaxyl–M 31.8% ES
500   Metalaxyl 35% WS
501   Metiram 70% WG
502   Metrafenone 500 g/l SC
503   Myclobutanil 10% WP
504   Oxathiapipron 10.1% OD
505   Oxycarboxin 20% EC
506   Paclobutarzole 23% SC
507   Paclobutrazole 40% SC
508   Penconazole 10% EC
509   Pencycuron 22.9% SC
510   Penflufen 22.43% FS
511   Picoxystrobin 22.52% SC
512   Polyoxin D Zinc salt 5% SC
513   Prochloraz 39.6% EC
514   Propiconazole 25% EC
515   Propineb 70% WP
516   Pyraclostrobin 100g/l CS
517   Pyraclostrobin 20% WG
518   Pyriofenone 18% w/v SC (16.51% w/w)
519   Sulphur 40% SC
520   Sulphur 52% Flowable
521   Sulphur 55.16% SC (800 gm/L)
522   Sulphur 80% WG
523   Sulphur 80% WP
524   Sulphur 85% DP
525   Tebuconazole 2% DS
526   Tebuconazole 25% WG
527   Tebuconazole 25.9% EC
528   Tebuconazole 38.39% SC
529   Tebuconazole 5.36% FS
530   Tebuconazole 5.4% (6.0%w/v) FS
531   Tetraconazole 11.6% w/w (12.5% w/v) SL
532    Tetraconazole 3.8% EW
533    Thifluzamide 24% SC
534    Thiophanate-methyl 41.7% SC
535   Thiophanate-methyl 70% WG
536   Thiophanate-methyl 70% WP
537   Thiram 40% FS
538   Thiram 75% WS
539   Thiram 80% WP
540   Triadimefon 25% WP
541   Tribasic Copper Sulphate 34.5% SC
542   Tricyclazole 70% WG
543   Tricyclazole 75% WP
544   Triflumizole 42.14%w/w SC
545   Triflumizole 15% w/w EC
546   Validamycin 3%L
547   Zineb 75%WP
548   Zineb 80%WP
549   Ziram 27%SC
550   Ziram 80% WP
                                       E. NEMATICIDES
551   Cyclobutrifluram 41.6% FS
552   Cyclobutrifluram 38.4% SC
553   Fluensulfone 2% GR
554   Fluopyram 34.48 % w/w SC
555   Fluazaindolizine 41.15% SC
                                    F. BIO-INSECTICIDES
556   Azadirachtin 0.15% EC w/w Min. Neem Seed Kernel Based
557   Azadirachtin 0.15%EC
558   Azadirachtin 00.30% EC (3000 PPM) Min. Neem Seed Kernel Based
559   Azadirachtin 01.00% EC Min. Neem Based
560   Azadirachtin 01.00% EC (10000 PPM) Min. Neem Based
561   Azadirachtin 00.03% EC Min. Neem Oil Based
562   Azadirachtin 00.03% WSP (300 PPM) Neem Oil Based
563   Azadirachtin 05.00% w/w Min. Neem Extract Concentrates
564   Bacillus firmus 1.5% AS (CFU count: 1 x 10^8 /ml min. [Strain AMMFA-BFI, NCMR,
      Accession No. MCC 0584]
565   Bacillus thuringiensis var.galleriae 1593 M serotype H595b, 1.3%
566   Bacillus thuringiensis var. kurstaki
567   Bacillus thuringiensis var. kurstaki, serotype H-39,3B, Strain Z-52
568   Bacillus thuringiensis serovar kurstaki (3a,3b,3c) 5.0%WP Potency 55000SU
569   Bacillus thuringiensis var. kurstaki 0.5%WPserotype 3a,3b,3c, Strain DORBt-1, Potency
      9000 IU/mg min.
570   Bacillus thuringiensis var. kurstaki 0.5%WPserotype 3a,3b,3c, Strain DORBt-1;
      NAIMCC-B-01118, Potency13329IU/mg min.
571   Bacillus thuringiensis var. kurstaki 0.5% WP serotype 3a,3b,3c, Strain DORBt-1, Potency
      16000 IU/mg min.
572   Bacillus thuringiensis var. kurstaki 2.5% AS
573   Bacillus thuringiensis var. kurstaki 10% WSL (CFU Count: 2x 10^9 / gm Min.) Potency:
      14245 IU/ml min. [Strain name: NBAIR-BtG4, Accession Number: JN120763, JN120765]
575    Bacillus thuringiensis var. kurstaki Strain HD-1, serotype 3a,3b,3.5%ES for Import &
       repack. Potency 17600 IU/mg
577   Bacillus thuringiensis var. kurstaki Serotype 3a,3b, SAIIWG Potency:- 53000; SU/mg,
      32000IU/mg
579   Bacillus thuringiensis var. israelensis WP
580   Bacillus     thuringiensis     var.    israelensis,   Serotype   H-14(VECTOBAC12AS)
      Potency1200ITU /MG
581   Bacillus thuringiensis var. israelensis 5.0% AS [Strain VCRC-B-17, Serotype H-14,
      Accession No.- MTCC5596]
582   Bacillus thuringiensis var. israelensis, Serotype H-14,5% WP Potency 2000 ITU/mg
585   Bacillus thuringiensis var. israelensis, Strain Designation- ABIL, Accession No.
      NAMICC- B01318(CFU Count-4.8 x 108) Serotype H-14,5%WP Potency 7000 ITU/mg
      Bacillus thuringiensis var. sphaericus 1593 Mserotype H59 5b
586
587   Bacillus thuringiensis var. israelensis 12% AS (Vectobac)
588   Bacillus sphaericus 1593M serotype H595b, 1.3% flowable concentrate Potency 13000
      IU/mg
